,MF,RDKit,SPOC,Mordred
RF,0.3955033933280631,0.2658601572976632,0.2718409038185918,0.25794343944670023
ET,0.35990909077670447,0.26922480608494664,0.261494486638044,0.27190892277313666
MLP,0.38336545556682794,0.3646118952985455,0.38501063714514117,0.3392977231737757
Ada,0.4309834715991632,0.31298953015462744,0.2584111248094015,0.2842204382626848
BG,0.3916762297580218,0.29147941971618624,0.2698188752301328,0.25724349445259603
DT,0.6048417626257427,0.4791927111480105,0.42089259919229005,0.3197818024188165
GB,0.3885729751613651,0.2313934893136624,0.21370511231510728,0.2623214503718822
XGB,0.3912818411490189,0.3286682517826337,0.2742526583145827,0.3213690435651443
LGBM,0.40918654686363193,0.3185127352514586,0.34284537039135177,0.29970601813846537
